index,Tahun,Comments,preprocessed,tokenize_text,label,score
96,2022,"Ya Allah aku terharu banget semoga will sehat selalu panjg umur, berkah usianya amiennn",ya allah haru banget moga wil sehat panjg umur berkah usia amien,"['ya', 'allah', 'haru', 'banget', 'moga', 'wil', 'sehat', 'panjg', 'umur', 'berkah', 'usia', 'amien']",positif,15
97,2023,"Mantap bang, ttplah berbagi, tetaplah peduli, semangat dalam berkarya, salam smgat dari NTT ????",mantap bang ttplah bagi tetap peduli semangat karya salam smgat jempol ke atas jempol ke atas,"['mantap', 'bang', 'ttplah', 'bagi', 'tetap', 'peduli', 'semangat', 'karya', 'salam', 'smgat', 'jempol', 'ke', 'atas', 'jempol', 'ke', 'atas']",positif,15
98,2023,"Bismillah muda""han bisa ngalir resekix kak willi sm kluarga kami,, ????????????",bismillah muda han alir resekix kak willi keluarga tangan angkat dan rapat sama tangan angkat dan rapat sama lipat tangan lipat tangan lipat tangan wajah menang keras,"['bismillah', 'muda', 'han', 'alir', 'resekix', 'kak', 'willi', 'keluarga', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'wajah', 'menang', 'keras']",positif,15
99,2023,Bapak ini paling The Best!!!??????????????????????????????,the best hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah tepuk tangan tepuk tangan tepuk tangan tepuk tangan tepuk tangan tepuk tangan tepuk tangan,"['the', 'best', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan']",positif,15
100,2023,10 jt lh kapan lg ad kesempatan ber bagi sm org2 nunggu2 punya uang sendiri mo ber bagi berkah belum dapat2 krn tuk diri sendiri ms kurang. Menengok org yg kita bantu senang hati kita longgar d tenang perasaan kita.,juta sempat ber orangorang nunggu uang ber berkah dapat tengok orang bantu senang hati longgar tenang asa,"['juta', 'sempat', 'ber', 'orangorang', 'nunggu', 'uang', 'ber', 'berkah', 'dapat', 'tengok', 'orang', 'bantu', 'senang', 'hati', 'longgar', 'tenang', 'asa']",positif,15
101,2023,Puji Tuhan semoga ke depan nya makin sukses ya kak    untuk keberhasilan nya berbagi iPhone dong kak ??,puji tuhan moga nya sukses ya kak hasil nya bagi iphone kak wajah gembira dengan mata bahagia,"['puji', 'tuhan', 'moga', 'nya', 'sukses', 'ya', 'kak', 'hasil', 'nya', 'bagi', 'iphone', 'kak', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia']",positif,15
102,2024,"Tetaplah bersyukur, bertambahnya usiamu itu berarti berkurangnya usiamu di dunia ini, tetaplah berbuat baik sampai kapanpun??",tetap syukur tambah usia kurang usia dunia tetap buat wajah pesta,"['tetap', 'syukur', 'tambah', 'usia', 'kurang', 'usia', 'dunia', 'tetap', 'buat', 'wajah', 'pesta']",positif,15
103,2024,Ya Allah bang lo jahat bgt buat gw nangis sumpah berasa bgt klu org lg susah tiba2 ketiban rejeki besar sampe si BPK gak percaya ?????????? semoga Tuhan kasih rejeki lo berlimpah bang gw percaya hukum tabur Tuai ????????,ya allah bang lo jahat banget gue menang sumpah asa banget orang susah ketiban rejeki sih bpk percaya wajah menang keras wajah menang keras wajah menang keras wajah menang keras wajah menang keras moga tuhan kasih rejeki lo limpah bang gue percaya hukum tabur tuai lipat tangan lipat tangan lipat tangan lipat tangan,"['ya', 'allah', 'bang', 'lo', 'jahat', 'banget', 'gue', 'menang', 'sumpah', 'asa', 'banget', 'orang', 'susah', 'ketiban', 'rejeki', 'sih', 'bpk', 'percaya', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras', 'moga', 'tuhan', 'kasih', 'rejeki', 'lo', 'limpah', 'bang', 'gue', 'percaya', 'hukum', 'tabur', 'tuai', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan']",positif,15
104,2021,"Kalo bapa ini pernah liat di jakarrta kalo engga salah ,buat mas nya sehat sehat dan terimakasih sudah berbagi ke sesama dan secara engga langsung mengajarin orang orang juga untuk saling berbagi dan berbuat baik kepada sesama ??",kalo bapa lihat jakarrta kalo salah mas nya sehat sehat terimakasih bagi langsung mengajarin orang orang bagi buat tepuk tangan,"['kalo', 'bapa', 'lihat', 'jakarrta', 'kalo', 'salah', 'mas', 'nya', 'sehat', 'sehat', 'terimakasih', 'bagi', 'langsung', 'mengajarin', 'orang', 'orang', 'bagi', 'buat', 'tepuk', 'tangan']",positif,14
105,2021,Koko   itu Burung Hantu atau bukan? Bismillah Ya Allah...Mudah2an Aku dapat THR dari Koko Willie..Aamiin YRA ????,koko burung hantu bismillah ya allah mudahmudahan thr koko willie amin yra tangan angkat dan rapat sama lipat tangan,"['koko', 'burung', 'hantu', 'bismillah', 'ya', 'allah', 'mudahmudahan', 'thr', 'koko', 'willie', 'amin', 'yra', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'lipat', 'tangan']",positif,14
106,2021,  kado nih?? selamat ya kak????,kado nih kado selamat ya kak kue ulang tahun kembang api,"['kado', 'nih', 'kado', 'selamat', 'ya', 'kak', 'kue', 'ulang', 'tahun', 'kembang', 'api']",positif,14
107,2021,  selamat anda dapat ipyhoney 15??????,selamat ipyhoney kado kado kembang api,"['selamat', 'ipyhoney', 'kado', 'kado', 'kembang', 'api']",positif,14
108,2022,Masha Allah Tabarakallah Semoga Berkah Wil Dan Semoga Rezekinya Ka   Bisa Nular Ke Aku Aaamiiinnnnn Yarobal Allamiiinn,masha allah tabarakallah moga berkah wil moga rezeki kak nular amin yarobal allamiin,"['masha', 'allah', 'tabarakallah', 'moga', 'berkah', 'wil', 'moga', 'rezeki', 'kak', 'nular', 'amin', 'yarobal', 'allamiin']",positif,14
109,2022,"Skrg kasih mawar, besok kasih mahar ????????????",kasih mawar besok kasih mahar wajah gembira api api api api api,"['kasih', 'mawar', 'besok', 'kasih', 'mahar', 'wajah', 'gembira', 'api', 'api', 'api', 'api', 'api']",positif,14
110,2022,Ko saya juga pengin buat kejutan buat istriku ko Willie bisa bantu gak... Pengin beliin dia HP baru... Semoga ko Willie baca komen aku ya... Amin... ????????,pengin kejut istri willie bantu pengin belikan hp moga willie baca komen ya amin tangan angkat dan rapat sama tangan angkat dan rapat sama lipat tangan wajah senyum dengan mata bahagia,"['pengin', 'kejut', 'istri', 'willie', 'bantu', 'pengin', 'belikan', 'hp', 'moga', 'willie', 'baca', 'komen', 'ya', 'amin', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'lipat', 'tangan', 'wajah', 'senyum', 'dengan', 'mata', 'bahagia']",positif,14
111,2023,Selamat yaa duo kesayangan netizen.. Semoga hubungan nya lancar dan bahagia terus selamanya.. Aamiin.. ??????,selamat ya duo sayang netizen moga hubung nya lancar bahagia amin api api hati merah,"['selamat', 'ya', 'duo', 'sayang', 'netizen', 'moga', 'hubung', 'nya', 'lancar', 'bahagia', 'amin', 'api', 'api', 'hati', 'merah']",positif,14
112,2023,"Bismillah bang Will cepat nikahnya dengan ci vilmei  biar bikin pesta yg paling mewah  dari yg lain nya bismillah berapa aj buat lahiran istri sya bang Will & ci vilmei 304901012053507 ,arip",bismillah bang wil cepat nikah ci vilmei biar bikin pesta mewah nya bismillah lahir istri bang wil ci vilmei arip,"['bismillah', 'bang', 'wil', 'cepat', 'nikah', 'ci', 'vilmei', 'biar', 'bikin', 'pesta', 'mewah', 'nya', 'bismillah', 'lahir', 'istri', 'bang', 'wil', 'ci', 'vilmei', 'arip']",positif,14
113,2023,"Untuk bapaknya salut deh, hatinya luas bgt. Mikirin orang lain dulu terlebih dahulu untuk bahagia. Sehat"" bang Wil ??????",bapak salut deh hati luas banget pikir orang bahagia sehat bang wil api api api,"['bapak', 'salut', 'deh', 'hati', 'luas', 'banget', 'pikir', 'orang', 'bahagia', 'sehat', 'bang', 'wil', 'api', 'api', 'api']",positif,14
114,2023,Selamat kak smoga sukses selalu.. happy weekend,selamat kak moga sukses happy weekend,"['selamat', 'kak', 'moga', 'sukses', 'happy', 'weekend']",positif,14
115,2024,Bismillah dapettt dari kak willi????,bismillah kak willi tangan angkat dan rapat sama tangan angkat dan rapat sama,"['bismillah', 'kak', 'willi', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,14
116,2024,Masa lalu dilupakan yang penting dia tobat cepet sembuh yah benteng??????????????,lupa tobat cepat sembuh ya benteng api api api api api api api,"['lupa', 'tobat', 'cepat', 'sembuh', 'ya', 'benteng', 'api', 'api', 'api', 'api', 'api', 'api', 'api']",positif,14
117,2024,Sub. Hanallah. Smg. Allah sll memberikan balasan kebaikan dn rizki yg berlimpah dn barokah  bersodaqah pd siapapun terurama pd or2 yg mau menyekolahkan anaknya serta orang tua yg sdh. Gk mampu tuk bekerja. Trima kasih ya ??,sub hanallah moga allah sl balas baik rizki limpah barokah bersodaqah terurama or sekolah anak orang tua terima kasih ya hati merah,"['sub', 'hanallah', 'moga', 'allah', 'sl', 'balas', 'baik', 'rizki', 'limpah', 'barokah', 'bersodaqah', 'terurama', 'or', 'sekolah', 'anak', 'orang', 'tua', 'terima', 'kasih', 'ya', 'hati', 'merah']",positif,14
118,2024,Alhamdulillah Amin semoga dipermudahkan Allah SWT,alhamdulillah amin moga mudah allah swt,"['alhamdulillah', 'amin', 'moga', 'mudah', 'allah', 'swt']",positif,14
119,2024,Selamat ulang TH  Semoga Panjang Umur and Sehat Selalu dan di mudahkan Rejekinya astungkara.,selamat ulang moga umur and sehat mudah rejekinya astungkara,"['selamat', 'ulang', 'moga', 'umur', 'and', 'sehat', 'mudah', 'rejekinya', 'astungkara']",positif,14
120,2024,Selamat ulang tahun kak semoga panjang umur sehat selalu tambah ganteng tambah sukses,selamat ulang kak moga umur sehat ganteng sukses,"['selamat', 'ulang', 'kak', 'moga', 'umur', 'sehat', 'ganteng', 'sukses']",positif,14
121,2024,Selamat ulangtahun Billie...semoga sehat dan sukses..mas Billie...amin????,selamat ulangtahun billie moga sehat sukses mas billie amin hati merah hati merah,"['selamat', 'ulangtahun', 'billie', 'moga', 'sehat', 'sukses', 'mas', 'billie', 'amin', 'hati', 'merah', 'hati', 'merah']",positif,14
122,2020,Assalamu"alaikum kokoh willie nama aku ricky hidayat dari bekasi kec tambun selatan. kokoh willie beliin aku motor dong vespa spirint iget 150. aku pengen banget punya motor biar gak kemana-mana jalan. aku pengen banget punya motor buat aku pake kerja. kerja aku sebagai seniman jalanan cita-cita aku pengen banget punya motor biar lebih mudah. aku udah lama banget jalan kalo kemana-mana main tapi jalan itu sehat alhamdulillah kan kalo punya kendaraan biar gak ngabisin waktu.  sebelumnya aku punya motor mio cuma dipake sama kaka aku buat kerja dan uang hasil aku kerja sebagai seniman jalanan buat ibu dan bayar kontrakan serta listerik #semogadibacayaallah sama kokoh willie ammin :'( :'( wassalamu"alaikum,assalamu alaikum kokoh willie nama ricky hidayat bekas kec tambun selatan kokoh willie belikan motor vespa spirint iget pengin banget motor biar kemanamana jalan pengin banget motor pakai kerja kerja seniman jalan citacita pengin banget motor biar mudah banget jalan kalo kemanamana main jalan sehat alhamdulillah kalo kendara biar ngabisin motor mio pakai kakak kerja uang hasil kerja seniman jalan bayar kontra listerik kokoh willie amin wassalamu alaikum,"['assalamu', 'alaikum', 'kokoh', 'willie', 'nama', 'ricky', 'hidayat', 'bekas', 'kec', 'tambun', 'selatan', 'kokoh', 'willie', 'belikan', 'motor', 'vespa', 'spirint', 'iget', 'pengin', 'banget', 'motor', 'biar', 'kemanamana', 'jalan', 'pengin', 'banget', 'motor', 'pakai', 'kerja', 'kerja', 'seniman', 'jalan', 'citacita', 'pengin', 'banget', 'motor', 'biar', 'mudah', 'banget', 'jalan', 'kalo', 'kemanamana', 'main', 'jalan', 'sehat', 'alhamdulillah', 'kalo', 'kendara', 'biar', 'ngabisin', 'motor', 'mio', 'pakai', 'kakak', 'kerja', 'uang', 'hasil', 'kerja', 'seniman', 'jalan', 'bayar', 'kontra', 'listerik', 'kokoh', 'willie', 'amin', 'wassalamu', 'alaikum']",positif,13
123,2020,smlm mimpiin ka willy dapet ipone ???? semoga kenytaan aamiin ?? bismillah dari cianjur,smlm mimpiin kak willy ipone tertawa terbahakbahak tertawa terbahakbahak moga kenytaan amin wajah malaikat bismillah cianjur,"['smlm', 'mimpiin', 'kak', 'willy', 'ipone', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'moga', 'kenytaan', 'amin', 'wajah', 'malaikat', 'bismillah', 'cianjur']",positif,13
124,2020,Ya Allah.. bang Willie kapan saya bisa dapet rezeki dari bang Willie seperti orang².. ??,ya allah bang willie rezeki bang willie orang tangan angkat dan rapat sama,"['ya', 'allah', 'bang', 'willie', 'rezeki', 'bang', 'willie', 'orang', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,13
125,2020,"Bismillah,mudah mudahan ka willie tau dan di sini jg harapan terakhir masalah  hutang istriku ke bank emok bisa selesai,sengaja komen  di sini dan kasih tap semua postingan biar ka willie tau??support dan doa selalu menyertai orang baik??ka willie??",bismillah mudah mudah kak willie tau harap hutang istri bank emok selesai sengaja komen kasih tap postingan biar kak willie tau lipat tangan support doa serta orang hati merah kak willie wajah menang keras,"['bismillah', 'mudah', 'mudah', 'kak', 'willie', 'tau', 'harap', 'hutang', 'istri', 'bank', 'emok', 'selesai', 'sengaja', 'komen', 'kasih', 'tap', 'postingan', 'biar', 'kak', 'willie', 'tau', 'lipat', 'tangan', 'support', 'doa', 'serta', 'orang', 'hati', 'merah', 'kak', 'willie', 'wajah', 'menang', 'keras']",positif,13
126,2020,Koko   iseng banget foto di Toilet ???? Bismillah Ya Allah...Mudah2an Aku dapat THR dari Koko Willie..Aamiin YRA ????,koko iseng banget foto toilet wajah gembira urai air mata wajah gembira urai air mata bismillah ya allah mudahmudahan thr koko willie amin yra tangan angkat dan rapat sama lipat tangan,"['koko', 'iseng', 'banget', 'foto', 'toilet', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'bismillah', 'ya', 'allah', 'mudahmudahan', 'thr', 'koko', 'willie', 'amin', 'yra', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'lipat', 'tangan']",positif,13
127,2020,Bismillah dibaca ya allah sm kk baik ini. Dn smoga dibles kebaikan nya??,bismillah baca ya allah moga dibles baik nya wajah senyum lebar mata hati,"['bismillah', 'baca', 'ya', 'allah', 'moga', 'dibles', 'baik', 'nya', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",positif,13
128,2020,bismillah berkah ramadhan dapat hp apa aja buat gantiin hp abah yang rusak buat bisnis??,bismillah berkah ramadhan hp ganti hp abah rusak bisnis wajah memelas,"['bismillah', 'berkah', 'ramadhan', 'hp', 'ganti', 'hp', 'abah', 'rusak', 'bisnis', 'wajah', 'memelas']",positif,13
129,2020,Smoga kak willy selalu dalam lindungan yg maha kuasa??,moga kak willy lindung maha kuasa hati merah,"['moga', 'kak', 'willy', 'lindung', 'maha', 'kuasa', 'hati', 'merah']",positif,13
130,2021,"Kamu keren ?????? Amalanmu nyampe ke Allah duluan sebelum semua kamu bagikan, dan Allah menyambutnya dengan tersenyum  ",keren wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati amal allah duluan bagi allah sambut senyum,"['keren', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'amal', 'allah', 'duluan', 'bagi', 'allah', 'sambut', 'senyum']",positif,13
131,2021,Alhamdulillah kk wilie. Sama Allah diberi Rizki lebih. Karna berbagi itu rasanya bahagiaaaa banget.. bisa bntu sesama. Semogaa sellu bisa berbagi ya kk wiliee. Aminn,alhamdulillah wilie allah rizki bagi bahagia banget bantu moga sellu bagi ya wilie amin,"['alhamdulillah', 'wilie', 'allah', 'rizki', 'bagi', 'bahagia', 'banget', 'bantu', 'moga', 'sellu', 'bagi', 'ya', 'wilie', 'amin']",positif,13
132,2021,"hadir gemini boys. 30 mei. semoga diajak borong atau gk main mesin capit duit manusia sama bg wilies salim. suksess selalu buay bg    dan semangat terus buat bikin konten2 nya yg buat warga indonesia jd bahagia dn terbantu ketemu bg wiliesalim.. sy fans bg wiliesalim dr jakartapusat kramat sentiong, semoga kita bisa bertemi. terimakasi idolaku",hadir gemini boys mei moga ajak borong main mesin capit duit manusia bang wilies salim sukses buay bang semangat bikin kontenkonten nya warga indonesia bahagia bantu ketemu bang wiliesalim fan bang wiliesalim jakartapusat kramat sentiong moga tem terimakasi idola,"['hadir', 'gemini', 'boys', 'mei', 'moga', 'ajak', 'borong', 'main', 'mesin', 'capit', 'duit', 'manusia', 'bang', 'wilies', 'salim', 'sukses', 'buay', 'bang', 'semangat', 'bikin', 'kontenkonten', 'nya', 'warga', 'indonesia', 'bahagia', 'bantu', 'ketemu', 'bang', 'wiliesalim', 'fan', 'bang', 'wiliesalim', 'jakartapusat', 'kramat', 'sentiong', 'moga', 'tem', 'terimakasi', 'idola']",positif,13
133,2021,?????? tetep lucuuu walaupun Candid Camera...Bismillah Ya Allah...Mudah2an Aku dapat THR dari Koko   ..Aamiin YRA ????,wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata lucu candid camera bismillah ya allah mudahmudahan thr koko amin yra tangan angkat dan rapat sama lipat tangan,"['wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'lucu', 'candid', 'camera', 'bismillah', 'ya', 'allah', 'mudahmudahan', 'thr', 'koko', 'amin', 'yra', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'lipat', 'tangan']",positif,13
134,2022,  Lha Iya..... Minta Bapak nya sendiribaja belum tentu di kasih.....???????????? Kita ya harus kerja sendiri supaya dapat uang.,iya nya sendiribaja kasih wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak ya kerja uang,"['iya', 'nya', 'sendiribaja', 'kasih', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'ya', 'kerja', 'uang']",positif,13
135,2022,Luar biasa kak Willie ?? bantu orang" yang tidak mampu seperti anak" panti inilah yang sangat bermanfaat ???? sukses selalu kak Willie ????,kak willie api bantu orang anak panti manfaat api wajah senyum lebar mata hati sukses kak willie wajah malaikat lipat tangan,"['kak', 'willie', 'api', 'bantu', 'orang', 'anak', 'panti', 'manfaat', 'api', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'sukses', 'kak', 'willie', 'wajah', 'malaikat', 'lipat', 'tangan']",positif,13
136,2022,  ya gak dong... Itu namanya berbagi berkah dengan orang lain... Menularkan kebahagiaan artinya mengucap syukur... Wong rejeki dr Allah... Kebetulan aja melalui willie...,ya nama bagi berkah orang tular bahagia ucap syukur rejeki allah willie,"['ya', 'nama', 'bagi', 'berkah', 'orang', 'tular', 'bahagia', 'ucap', 'syukur', 'rejeki', 'allah', 'willie']",positif,13
137,2023,Seneng lihat orang berbagi....seneng juga kalau aq kebagian rejekinya juga...aamiinn....bagi doonggg.... bissmillah 1 juta ...????,senang lihat orang bagi senang bagi rejekinya amin bissmillah juta tangan angkat dan rapat sama tangan angkat dan rapat sama,"['senang', 'lihat', 'orang', 'bagi', 'senang', 'bagi', 'rejekinya', 'amin', 'bissmillah', 'juta', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,13
138,2023,Wille coba borong warung ketoprak trus di bagi2 in ke warga makan gratis ?? bismillah 500 ribu,wille coba borong warung ketoprak bagibagi warga makan gratis wajah nikmat bismillah ribu,"['wille', 'coba', 'borong', 'warung', 'ketoprak', 'bagibagi', 'warga', 'makan', 'gratis', 'wajah', 'nikmat', 'bismillah', 'ribu']",positif,13
139,2023,Kak willie aku mau uang 1triliyun plisssss??????????. Tenang aja deh aku sudah sukrbb coba lihat di Instagram dan juga. YouTube dan juga kak villmyy,kak willie uang triliyun plis lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan tenang deh sukrb coba lihat instagram youtube kak villmy,"['kak', 'willie', 'uang', 'triliyun', 'plis', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'tenang', 'deh', 'sukrb', 'coba', 'lihat', 'instagram', 'youtube', 'kak', 'villmy']",positif,13
140,2023,Bang wilie berani ga borong mesin ATM  semua nya bismillah TF Bank dana SETYA SAPTA PRAWIRA nomer rekening 085716637938 500 ribu,bang wilie berani borong mesin atm nya bismillah tf bank dana setya sapta prawira nomer rekening ribu,"['bang', 'wilie', 'berani', 'borong', 'mesin', 'atm', 'nya', 'bismillah', 'tf', 'bank', 'dana', 'setya', 'sapta', 'prawira', 'nomer', 'rekening', 'ribu']",positif,13
141,2023,Pengen juga bang jujur dri hati seandainya rejeki saya dlm wktu dekat 500k aj gpp puji Tuhan??,pengin bang jujur hati anda rejeki k gp puji tuhan,"['pengin', 'bang', 'jujur', 'hati', 'anda', 'rejeki', 'k', 'gp', 'puji', 'tuhan']",positif,13
142,2024,Modalin usaha buat aku 100 juta belum????????????????????????????,modalin usaha juta lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan,"['modalin', 'usaha', 'juta', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan']",positif,13
143,2024,Bismillah kk wiliie mudah mudahan dapat hp buat ujian nntik     ????,bismillah wiliie mudah mudah hp uji nntik hati merah hati merah,"['bismillah', 'wiliie', 'mudah', 'mudah', 'hp', 'uji', 'nntik', 'hati', 'merah', 'hati', 'merah']",positif,13
144,2024,Selamat ulang tahun koko semoga panjang umur dan murah rejeki ya koko,selamat ulang koko moga umur murah rejeki ya koko,"['selamat', 'ulang', 'koko', 'moga', 'umur', 'murah', 'rejeki', 'ya', 'koko']",positif,13
145,2024,Semoga rezeki ku dipermudahkan dilancarkan dpt membantu orang2 yg mmbthkan ky wiily??,moga rezeki ku mudah lancar bantu orangorang mmbthkan kaya wiily tangan angkat dan rapat sama,"['moga', 'rezeki', 'ku', 'mudah', 'lancar', 'bantu', 'orangorang', 'mmbthkan', 'kaya', 'wiily', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,13
146,2024,Mantap bos ku luar biasa kebaikan bos ku ??,mantap bos ku baik bos ku hati,"['mantap', 'bos', 'ku', 'baik', 'bos', 'ku', 'hati']",positif,13
147,2024,??????????semoga sukses All,api api api api tepuk tangan moga sukses al,"['api', 'api', 'api', 'api', 'tepuk', 'tangan', 'moga', 'sukses', 'al']",positif,13
148,2020,"Love and like dri postingan awal sampe akhir   , Bismillah semoga rezeki Bumil 5 juta buat beli AC, cuaca panas banget",love and like postingan bismillah moga rezeki bumil juta beli ac cuaca panas banget,"['love', 'and', 'like', 'postingan', 'bismillah', 'moga', 'rezeki', 'bumil', 'juta', 'beli', 'ac', 'cuaca', 'panas', 'banget']",positif,12
149,2020,Kayak gaya K-Pop ????,kayak gaya pop tertawa terbahakbahak tertawa terbahakbahak,"['kayak', 'gaya', 'pop', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,12
150,2020,Ya ampun gantengnya semoga kedepannya jauh lebih sukses lagi y k semoga kk rezekinya lancar terus semangat jangan Dengerin kata netizen yang tidak bener y ka ????,ya ampun ganteng moga depan sukses ya moga rezeki lancar semangat dengar netizen ya kak wajah senyum dengan hati dua hati,"['ya', 'ampun', 'ganteng', 'moga', 'depan', 'sukses', 'ya', 'moga', 'rezeki', 'lancar', 'semangat', 'dengar', 'netizen', 'ya', 'kak', 'wajah', 'senyum', 'dengan', 'hati', 'dua', 'hati']",positif,12
151,2020,????sispacckkk nya itu lohh ?????? moga miswa aku jg sispack lg kek gituu.?? bikin gemes. Klo sispack enak di liat apalagi di sentuh bikin gk bisa jauh jauh ???? tpi jngn kelebihan sispack ny Ngeri liat ny bkn suka lg ntar,api api sispacck nya loh wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati moga miswa sispack kayak begitu wajah gembira urai air mata bikin gemas kalo sispack enak lihat sentuh bikin tertawa terbahakbahak tertawa terbahakbahak lebih sispack nya ngeri lihat nya suka entar,"['api', 'api', 'sispacck', 'nya', 'loh', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'moga', 'miswa', 'sispack', 'kayak', 'begitu', 'wajah', 'gembira', 'urai', 'air', 'mata', 'bikin', 'gemas', 'kalo', 'sispack', 'enak', 'lihat', 'sentuh', 'bikin', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'lebih', 'sispack', 'nya', 'ngeri', 'lihat', 'nya', 'suka', 'entar']",positif,12
152,2020,"Semoga tambah sukses, sehat,bahagia sekeluarga anda orang baik ??",moga sukses sehat bahagia keluarga orang hati merah,"['moga', 'sukses', 'sehat', 'bahagia', 'keluarga', 'orang', 'hati', 'merah']",positif,12
153,2021,Salut bang .. ????????????,salut bang api api api api api api,"['salut', 'bang', 'api', 'api', 'api', 'api', 'api', 'api']",positif,12
154,2021,Ya alllah bang Willie baik banget semoga Abang sehat selalu dan banyak rezeki nya,ya allah bang willie banget moga abang sehat rezeki nya,"['ya', 'allah', 'bang', 'willie', 'banget', 'moga', 'abang', 'sehat', 'rezeki', 'nya']",positif,12
155,2021,"?? puji Tuhan , jadilah seluran berkat Tuhan",hati merah puji tuhan seluran berkat tuhan,"['hati', 'merah', 'puji', 'tuhan', 'seluran', 'berkat', 'tuhan']",positif,12
156,2021,?????? ,angkat tangan angkat tangan angkat tangan,"['angkat', 'tangan', 'angkat', 'tangan', 'angkat', 'tangan']",positif,12
157,2021,Bismillah ?? uang tunai Seikhlasnya aja KK  ,bismillah lipat tangan uang tunai ikhlas,"['bismillah', 'lipat', 'tangan', 'uang', 'tunai', 'ikhlas']",positif,12
158,2021,"Etdah cakep betul, bismillah vape. Mari Kita Borong !!!",etdah cakep bismillah vape mari borong,"['etdah', 'cakep', 'bismillah', 'vape', 'mari', 'borong']",positif,12
159,2021,Alhamdulillah senang2 ga ngajak ank2 panti berkah ya koko,alhamdulillah senangsenang ajak anakanak panti berkah ya koko,"['alhamdulillah', 'senangsenang', 'ajak', 'anakanak', 'panti', 'berkah', 'ya', 'koko']",positif,12
160,2021,haii ko will??????,hai wil angkat tangan angkat tangan angkat tangan,"['hai', 'wil', 'angkat', 'tangan', 'angkat', 'tangan', 'angkat', 'tangan']",positif,12
