,Tahun,Comments,preprocessed,,
895,2020,@ratuu.g.k ehem ??,enggakke ehem,,
896,2020,Adeknya ngga diajak lagi berantem kah?,adeknya ajak antem kah,,
897,2020,"Emng merek Haan enak ?. Apalagi es krim nya, kak nanti bikin yg eskrim nya dong?",merek haan enak es krim nya kak bikin eskrim nya,,
898,2020,Bikin anak dikamar cekkk,bikin anak kamar cek,,
899,2020,Segerrrrr temen nya pas sambil nyemil @morisoles_ ?,segar teman nya pas nyemil,,
900,2020,Tumben adeknya ga di ajak kak?,tumben adeknya ajak kak,,
901,2020,Keren kak,keren kak,,
902,2020,Gak ada ka aliyahh ?,kak aliyah,,
903,2020,Enak banget pastiiii???,enak banget,,
904,2020,Pen buat tpi mager??,pengin mager,,
905,2020,Duh ngiler?,duh ngiler,,
906,2020,Coba ah ??,coba ah,,
907,2020,Merk pancinya apa kak,merk panci kak,,
908,2020,Siska khol aja makan pake tangan,siska khol makan pakai tangan,,
909,2020,aliyah gak bisa makan pake tangan????,aliyah makan pakai tangan,,
910,2020,salpok ke susu beruang nya ??,salpok susu beruang nya,,
911,2020,@shaziayasminn iya??,iya,,
912,2020,Aliyyah gk bisa makan pke tangan??,aliyyah makan pakai tangan,,
913,2020,The real Muluk (Makan Pke tangan),the real muluk makan pakai tangan,,
914,2020,Mkn pke tgn check,pakai tgn check,,
915,2020,@haritzfaiz aku senang banget??,senang banget,,
916,2020,@syahrilramadhanjhi202 woii itu kulkas ama indomaret lebih menarik kulkasnya dia anjim,woi kulkas indomaret tarik kulkas anjim,,
917,2020,Apapun makanannya nasi harus ada????,apa makan nasi,,
918,2020,"@clubantikere makanannya enak semua, harum enak",makan enak harum enak,,
919,2020,"Belum matang itu atuh ayamnya, masih merah",matang atuh ayam merah,,
920,2020,Kamarnya apa ga bau kak dibuat masak masakan terus,kamar bau kak masak masakan,,
921,2020,Kulkas nya kek Alfamart,kulkas nya kayak alfamart,,
922,2020,@ahlanfajri uhuyy,uhuy,,
923,2020,"Jadi lapar, check ??",lapar check,,
924,2020,Kulkasku insecure melihat ini,kulkas insecure,,
925,2020,liat makanya itu lo nyedepin,lihat lo nyedepin,,
926,2020,Apa dayaku yang masih harus extra berjuang untuk memperoleh itu semua ??,daya extra juang oleh,,
927,2020,@hotiem_ yes,yes,,
928,2020,siska tanggung jawab gue pengen??,siska tanggung gue pengin,,
929,2020,Wahh centong nasinya dari emas?? wahh emasnya bisa dimakan... ??,centong nasi emas emas makan,,
930,2020,Ayamnya masih mentah??,ayam mentah,,
931,2020,Ayam nya kayak nya kurang masak deh,ayam nya kayak nya masak deh,,
932,2020,Salfok sama susu beruang nya ??,salah fokus susu beruang nya,,
933,2020,@umay_cecaria sama wkwk,wkwk,,
934,2020,kamar aja udah lengkap bngt alat masaknya. gimana dapurnya udah kaya supermarket mungkin ya??,kamar lengkap banget alat masak dapur kayak supermarket ya,,
935,2020,Gw salfok ayamny msih mentah gk sih??,gue salah fokus ayamny mentah sih,,
936,2020,@wikemln wkwk????,wkwk,,
937,2020,@tia19_ Serasa kulkas alfa check,serasa kulkas alfa check,,
938,2020,@bulannov23 mmpus?? Btw follback yah bund??,mmpus btw follback ya bunda,,
939,2020,"@justmeneuwwu aku prrnah beli poka** sweat di abang asongan,waktu itu di sebuah taman aus langsung minum aj,stlh botolnya kosong baru ngecek,tgl expired nya 2 bln lewat,???? untung ga mati biasa aj fine2 ga ada keluhan apa2",prrnah beli poka sweat abang asong taman aus langsung minum botol kosong ecek tanggal expired nya untung mati fine keluh apaapa,,
940,2020,@bulannov23 awokawok ?? di upload nya 2020 tpi.. Sans??,awokawok upload nya sans,,
941,2020,@justmeneuwwu nov 2020??????,nov,,
942,2020,@laudyah_ptrie huhu ngakak??,huhu akak,,
943,2020,@justmeneuwwu masih 2021 expired nya,expired nya,,
944,2020,Salfok sama susu bear brand nya :(,salah fokus susu bear brand nya,,
945,2020,Itu bumbunya kadaluarsa gak sih?,bumbu kadaluarsa sih,,
946,2020,Saya orang .minang,orang mang,,
947,2020,Salfok tgl expired ny??,salah fokus tanggal expired nya,,
948,2020,Kak coba riveiu es krim rasa popcorn,kak coba riveiu es krim popcorn,,
949,2020,Buseeet itu kulkas nya udh kyk di alfamart anjirrr????,buseet kulkas nya kayak alfamart anjir,,
950,2020,@mikoharukii kamar ??,kamar,,
951,2020,Salfok sama centong nasinya..??,salah fokus centong nasi,,
952,2020,@zahrakhairen seluas ruangtamu kita we????,luas ruangtamu we,,
953,2020,Yok mending ke padang lanngsung aja??,yuk mending padang lanngsung,,
954,2020,"Waahh dahlahh, inisih udah pasti enak.",dah inisih enak,,
955,2020, cobain keseruannya sekarang,coba seru,,
956,2020,@rizkyramdhany23 hoh,hoh,,
957,2020,@tania.wey bukannya lebih enak? Kan sakitan di gebuk??,wey enak sakit gebuk,,
958,2020,@rizkyramdhany23 lebih kejem ghosting sih,jem ghosting sih,,
959,2020,@tania.wey lebih kejam di pukul dadanya atau diraba? ??,wey kejam dada raba,,
960,2020,@rizkyramdhany23 kejammm,kejam,,
961,2020,@tania.wey ayuu... Ganti gantian juga gpp. kamu dua kali saya sekali??,wey ayu ganti ganti gp kali,,
962,2020,@rizkyramdhany23 leg leg an ekwkw,leg leg an ekwkw,,
963,2020,@tania.wey Madigebuk di bagian mana??,wey madigebuk,,
964,2020,@rizkyramdhany23 sini gebuk,gebuk,,
965,2020,"Beneran ga di endorse tuhhh????,tapi sampe kerupuknya dari uni lili, tapi gua suka banget sih liat mereka berdua masak ,uhh kadang gua ikut ikutin resep resep mereka dan hasilnya lumayan donggg ??",benar endorse tuh kerupuk uni lili gua suka banget sih lihat dua masak uh kadang gua ikut resep resep hasil lumayan,,
966,2020,Kerupuk kulit bumbu basah @rhmdnadl,kerupuk kulit bumbu basah,,
967,2020,@z29x.vyn sendok.nasi ku pake kayu????,vyn sendoknasi ku pakai kayu,,
968,2020,Salfok Ama sendok nasi nya emas,salah fokus sendok nasi nya emas,,
969,2020,@piilestari mari kita coba,mari coba,,
970,2020,Kamarnya udah kek warung,kamar kayak warung,,
971,2020,Salpok sm susu bear brand ny????,salpok susu bear brand nya,,
972,2020,Enaaak bangettt.????,enaak banget,,
973,2020,Seneng banget akhirnya apload juga????,senang banget apload,,
974,2020,Orang kaya gini ya gw salfok ma kulkas + isinya serasa kek di Indomaret????,orang kayak ya gue salah fokus kulkas isi serasa kayak indomaret,,
975,2020,Jadii genduut gaes saking enaknya??,gendut gaes saking enak,,
976,2020,@rizkyramdhany23 dari pada bli makanan d luar kan ga higienis y ga bro??,beli makan higienis ya bro,,
977,2020,@rizkyramdhany23 bisa ae abang ini????,abang,,
978,2020,"@zhyani_sarah yaudh tunggu dirumah ya,..Besok OTW bawa besan. gk perlu  ribet"" Yg penting bisa masak??",ya tunggu rumah ya besok otw bawa besan ribet masak,,
979,2020,@siscakohl kak tolong cek DM??,kak tolong cek dm,,
980,2020,@rizkyramdhany23 alhamdulillah bisa lah.tapi klo rendang opor mah blm takut gagal????,alhamdulillah lahtapi kalo rendang opor mah takut gagal,,
981,2020,@zhyani_sarah tpi kmu bisa masak?,masak,,
982,2020,@rizkyramdhany23 ?????? klo ga bisa masak cewek lebay.ini aj ank sultan bisa masak loh?? cewe biasanya d luar suka ala ala sok mnja pura pura ga bisa msk,kalo masak cewek lebayini anak sultan masak loh cewek suka ala ala sok mnja pura pura masuk,,
983,2020,@rizkyramdhany23 bener.. yg anak sultan aj pinter masak... walopun di dalam kamar..,anak sultan pintar masak walopun kamar,,
984,2020,"Skarang semua bisa serba instan. kalo lo masih bilang gk bisa masak, gw gebug dadalu",serba instan kalo lo bilang masak gue gebug dadalu,,
985,2020,Bungkuih ciek ni ci,bungkuih ciek nih ci,,
986,2020,Seneng bgt denger aliyaa bilang rndang,senang banget dengar aliya bilang rndang,,
987,2020,"@siscakohl semangat kaaa ujiannya,kalo aku udh baru aja??",semangat kak uji kalo,,
988,2020,Yummy ??????,yummy,,
989,2020,Yahhh jd pgn rendang pdhl ud malem juga????,ya pengin rendang malam,,
990,2020,Masak bareng orang tua donk??,masak bareng orang tua,,
991,2020,Kamarnya seluas apa tuh kakk smpe ada kulkass????,kamar luas tuh kak kulkas,,
992,2020,@siscakohl semangat ya kak sisca,semangat ya kak sisca,,
993,2020,@siscakohl semangatttt cantik??,semangat cantik,,
994,2020,Aku bungkuss ya????,bungkus ya,,
995,2020,@sisca.kohl.fans aku ada ujian minggu depan ?? jadi aku lagi sibuk belajar nih,kohlfan uji minggu sibuk ajar nih,,
996,2020,dari centong nasinya aja udah waw ????,centong nasi wow,,
997,2020,Pamer jempol bawah,pamer jempol,,
998,2020,Kl mau nunjukin barang baru gk usah disebut harganya jatohnya kayak orang norak,kalo nunjukin barang harga jatohnya kayak orang norak,,
999,2020,"Setidaknya mereka gaada banyak drama, gak pansos, dll.. G ada omong kasar..",drama pansos omong kasar,,
1000,2020,Cara pamer dengan halus,pamer halus,,
1001,2020,Enaknya jadi orang kaya,enak orang kayak,,
1002,2020,Cantik banget,cantik banget,,
1003,2020,"ini org kaya tapi rendah hati, ntah knp aku liatnya gitu",orang kayak rendah hati lihat,,
1004,2020,Suka bgt liat dia,suka banget lihat,,
1005,2020,Enak banget pastiiii,enak banget,,
1006,2020,"Kalo ada yang ngehujat kaka ini emang ga ada akhlak deh... Udah cantik, pinter masak pulaa ?????",kalo hujat kakak akhlak deh cantik pintar masak,,
1007,2020,IDEnya bagus,ide bagus,,
1008,2020,Gemoyyy liat pipi kmu,gemoy lihat pipi,,
1009,2020,Udh punya dan emang seenak itu,enak,,
1010,2020,Tarok di mukalu noh bsa ga,tarok mukalu noh,,
1011,2020,Siapapun kalian curi ini mesin ice creamnya Sisca..biar tidak meresahkan,curi mesin ice creamnya sisca biar resah,,
1012,2020,"Mereka bs bikin apa aja y...bisa beli apa aja,tapi ko kayanya hidup mereka kesepian",bikin ya beli kaya hidup sepi,,
1013,2020,Pasti kenalan orang dalem,kenal orang dalem,,
1014,2020,Wahh ikut senengg,senang,,
1015,2020,"Ikut seneng?? Bangtan emang baikk bangett deh????, congrats kak Sisca n Aliyya",senang bangtan banget deh congrats kak sisca n aliyya,,
1016,2020,Alay banget,alay banget,,
1017,2020,Selamat ya kak Siska,selamat ya kak siska,,
1018,2020,Selamat kakak,selamat kakak,,
1019,2020,Kak kamu cantik banget,kak cantik banget,,
1020,2020,Kakak imut + cantikk,kakak imut cantik,,
1021,2020,Mirip ibu ibu mukanya udh kerutan,muka kerut,,
1022,2020,"senyumnya tu loo, ikhlas bgt",senyum lo ikhlas banget,,
1023,2020,Imut n lucu,imut n lucu,,
1024,2020,"Tp pintar ya bisa buat apa aja, kalah emak",pintar ya kalah emak,,
1025,2020,ini kreatif sih! adenya cans bgt pdhl gpake mekap ap2 kolongmerat emg bedaah,kreatif sih adeknya cantik banget gpake mekap ap kolongmerat bedaah,,
1026,2020,"Lucu, besok bikin buat anak",lucu besok bikin anak,,
1027,2020,Makan tempe doang masuk tv,makan tempe doang masuk tv,,
1028,2020,Masuk tv kak mantappp,masuk tv kak mantap,,
1029,2020,Sukses teruss ka sisca,sukses kak sisca,,
1030,2020,Selamat ya kak semoga sukses selalu,selamat ya kak moga sukses,,
1031,2020,Semoga kakak terus berkarya,moga kakak karya,,
1032,2020,Selamat kak sukses terus ya,selamat kak sukses ya,,
1033,2020,"Keren kak,KK smapai masuk TV",keren kak smapai masuk tv,,
1034,2020,suka konten dan video klian???? sukses trs yaa,suka konten video sukses ya,,
1035,2020,Pamer rumah doang anjng,pamer rumah doang anjng,,
1036,2020,Anak pamer rumah be like,anak pamer rumah be like,,
1037,2020,widih viral cu hebat banget kk,widih viral cu hebat banget,,
1038,2020,"Selama tidak dengan cara menyebalkan gpp ka, lanjutin aku dukung",sebal gp kak lanjut dukung,,
1039,2020,Terus lah berkarya dengan kemapuan bukan dengan sensasi,karya kemapuan sensasi,,
1040,2020,sukses terus anak cantik,sukses anak cantik,,
1041,2020,kak& adek sukses dg ide2 yg kreatif,kak adek sukses ide kreatif,,
1042,2020,Kenapa mukanya harus liat kamera terus sii,muka lihat kamera sih,,
1043,2020,Knpa aku jadi fokus yg bikin ya bukan ke adonannya,fokus bikin ya adon,,
1044,2020,Tutorial yang sangat informatif sekali,tutorial informatif,,
1045,2020,Emang konsepnya pake intonasi yg memuakkan gitu yahh,konsep pakai intonasi muak ya,,
1046,2020,Gaada dapur?,dapur,,
1047,2020,Beuuh sini sih bikin ngiler,beuuh sih bikin ngiler,,
1048,2020,Cara sakit diabetes,sakit diabetes,,
1049,2020,Enak amet yak hidupnya???? mudah mudahan nula,enak amet ya hidup mudah mudah nula,,
1050,2021,Apakah siska pernah beli biskuit roma kelapa,siska beli biskuit roma kelapa,,
1051,2021,@ajengputri_taufik ????????,wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata,,
1052,2021,Mari kita liat aja,mari lihat,,
1053,2021,Apakah sisca pernah beli goriorio,sisca beli goriorio,,
1054,2021,@hay_dila ayok budal,ayok budal,,
1055,2021,@oktaviasftr rampok gelas ae hyung aku pingin geles e ??,rampok gelas hyung pengin geles e wajah senyum lebar mata hati,,
1056,2021,@hay_dila mari kitaa rampok,mari rampok,,
1057,2021,Suara aslinya yg bilang rasanya seperti Goolden Oreo bagus banget??,suara asli bilang goolden oreo bagus banget wajah menang,,
1058,2021,Gua ja baru tau ada oreo lady gaga wkwk,gua tau oreo lady gaga wkwk,,
1059,2021,Yok lah gw aja beli oreo di indomaret aja mikir dlu??,yuk gue beli oreo indomaret mikir wajah gembira urai air mata,,
1060,2021,Mari kita coba ngabisin duit orang tuaaaa,mari coba ngabisin duit orang tua,,
1061,2021,@marcelin_agustinus senengan cik.celinn oreoooo,neng cikcelin oreo,,
1062,2021,Beliin donggg oreooooo ooo oooo oooo #sambilnyanyi @dmwibowo @ira_lukito ??,belikan oreo o o o tertawa terbahakbahak,,
1063,2021,@ilma_ei anti goresnya ituuu,anti gores,,
1064,2021,"Br tau ad oreo yg berbedeu ,berbeda mksdny dsar org khaya????",tau oreo berbedeu beda maksud dasar orang khaya wajah gembira urai air mata wajah dengan mulut buka,,
1065,2021,@niarania hahahahahahahahhaha kalo postibgan gini sering d lo liat gw atau pampam tag satu sama laen ??????,hahahahahahahahhaha kalo postibgan lo lihat gue pampam tag tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,,
1066,2021,"@sopialfiehamid ealaahhh ketemu dikomen sini..sesama peng kepo Siska yaaa, dan baca komen2 nynyir netijen ?? pesen ini di titipdong sopia brp? 2jt jga kah? ??",ealaah ketemu dikomen peng kepo siska ya baca komenkomen nynyir netijen wajah gembira urai air mata pesan titipdong sopia jt kah tertawa terbahakbahak,,
1067,2021,Mo makan hanamasa sendirian aja gw masih mikir....,makan hanamasa gue mikir,,
1068,2021,@mgputriana oreo meg,oreo meg,,
1069,2021,Wong rasane Yo Podo ae Oalah yo2 enek2 ae,rasane ya podo oalah yo enek,,
1070,2021,@novars.19 Oreo nop,oreo nop,,
1071,2021,Mendingan beli di warung aja lebih murah dan lebih banyak oreonya,mending beli warung murah oreonya,,
1072,2021,@hasna_1615 Goriorio,goriorio,,
1073,2021,Ni orang pernah makan somay make plastik kaga ya,nih orang makan somay pakai plastik kagak ya,,
1074,2021,OREO 300.000 cima isi enam mendingan OREO 2.000 Isi Empat,oreo cima isi enam mending oreo isi,,
1075,2021,@rileyserefina layarnya kek pecah gitu,layar kayak pecah,,
1076,2021,@ilmaumami emang knp dgn hpnya?,hpnya,,
1077,2021,ada yang sadar sama hpnya gasih??,sadar hpnya sih,,
1078,2021,"@rashadimamre menunggu kalo semua itu cuma settingan, ternyata mereka bukan dari keluarga kaya raya semua itu hasil kredit???? anjayani sinetron banget",tunggu kalo settingan keluarga kayak raya hasil kredit wajah menang tepuk tangan anjayani sinetron banget,,
1079,2021,Mari kita ngepet??,mari ngepet wajah gembira urai air mata,,
1080,2021,Lebih baik uangnya kasih aq aja buat bli hanphone baru,uang kasih beli hanphone,,
1081,2021,gw mao beli nasi yang 25k aj msih mikir? :v,gue beli nasi k mikir v,,
1082,2021,@mandhalaksya @sooondlr @putrinazha otw dagang d unida oreo goreng??,otw dagang unida oreo goreng wajah gembira urai air mata,,
1083,2021,@ziaa_alice beneerrrrr,beneer,,
1084,2021,Aku ga kebayang kalo oreo gitu jatuh dijalan trus keinjek injek sampe remuk ??,bayang kalo oreo jatuh jalan keinjek injek remuk wajah dengan mulut buka,,
1085,2021,Ahaa yg aku cari oreonya warna hijau wkwkw,aha cari oreonya warna hijau wkwkw,,
1086,2021,@puput.rpl ??,rpl wajah gembira urai air mata,,
1087,2021,Gw beli oreo kaleng yg harganya 20rb aja gw masih mikir mikir anjir,gue beli oreo kaleng harga rb gue mikir mikir anjir,,
1088,2021,Mari kita coba,mari coba,,
1089,2021,"Sama kak, kemarin aku juga udah borong Oreo di luar negeri karena saking penginnya nyicip all varian Oreo sampe abis 4juta rasanyaa enak ya kak, tapi bedanya @siscakohl nyata kalau aku ngarang??",kak kemarin borong oreo negeri saking pengin nyicip al varian oreo habis juta enak ya kak beda nyata arang wajah konyol,,
1090,2021,"Setelah melihat video ini, rasa ingin membeli biskuit goriorio di kios tetangga meningkat..terimakasih ??",video beli biskuit goriorio kios tetangga tingkat terimakasih jempol ke atas,,
1091,2021,Cece : Aku beli di amerika  Gw bilek: aku beli di shopee harga nya cmn 200an,cece beli amerika gue bilek beli shope harga nya cuman an,,
1092,2021,Bismilah thr??,bismilah thr wajah gembira urai air mata,,
1093,2021,Mending buat gw deh uangnya ??,mending gue deh uang wajah menang,,
1094,2021,Yg penting mata gw ga sipit,mata gue sipit,,
1095,2021,@nonayamashita Di Sekolah ku banyak kak,sekolah ku kak,,
1096,2021,KAK PUNYA DUIT 999 JUTA MILYARAN TRILIUN BERLIUN LIUN,kak duit juta milyaran triliun berliun liun,,
1097,2021,18 rebuan di aku mahhh??,rebu mah wajah gembira urai air mata,,
1098,2021,@syemahuda anjir di walmart berapaan? kok di indo jadi 2 juta? ??,anjir walmart berapa indonesia juta wajah gembira urai air mata,,
1099,2021,Gorio rio enak. Cuma sekrg blm nemu lagi,gorio rio enak sekrg nemu,,
1100,2021,Kok pas di jilat ga di liatin ya??,pas jilat lihat ya wajah menang,,
1101,2021,Gorio2 palamu benjut,gorio pala benjut,,
1102,2021,@hafidzamtm17 hahaha??,hahaha tertawa terbahakbahak,,
1103,2021,@inayatul.ilmiyah jannnn jujur temen??,ilmiyah jujur teman tertawa terbahakbahak,,
1104,2021,@hafidzamtm17 apalah daya yg belinya gorio rio??????,apa daya beli gorio rio tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,,
1105,2021,@farrellmldnsyh @mhmdakmallf goriorio menangsi melihag ini ????,goriorio tangsi melihag wajah gembira urai air mata wajah gembira urai air mata,,
1106,2021,@uu.uuq hahahha... Iyaa uq dh lama,uuq hahahha iya uq dah,,
1107,2021,"@auliy.nur tuh kan bener, dia aja post 17 Feb, telat banget berarti udahan",nur tuh post feb telat banget udahan,,
1108,2021,@uu.uuq ku follow dia untuk memotivasi jiwa misqueen.... Hahahaha.... Eh liat uuq posting yo aku tag...,uuq ku follow motivasi jiwa misqueen hahahaha eh lihat uuq posting ya tag,,
1109,2021,@auliy.nur benci banget kok teteh bisa nemu? ????,nur benci banget teteh nemu wajah menang keras tertawa terbahakbahak,,
1110,2021,Apalah dayaku cuman bisa gorio rio,apa daya cuman gorio rio,,
1111,2021,@debiettyra di warung sini cuma 500 perak ??,warung perak wajah menang,,
1112,2021,Apa daya yang cuman makan goriorio,daya cuman makan goriorio,,
1113,2021,oreo 2 rebo aja udah enak banget,oreo rebo enak banget,,
1114,2021,gue beli oreo aja 2000 kdg masih kurang anjir uangnya,gue beli oreo kadang anjir uang,,
1115,2021,Oreo amerika lebih enak dari pada oreo indonesia tapi rasanya sama ke  2rb,oreo amerika enak oreo indonesia rb,,
1116,2021,@ayurayu_ wakakaka,wakakaka,,
1117,2021,@yaumul07 mantap saudari yg penting perjuangan,mantap saudari juang,,
1118,2021,Lady gaa katanya satanist,lady satanist,,
1119,2021,@debiettyra ?????? @_wndirkrnn,wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata,,
1120,2021,@ayurayu_ coba buat sabar,coba sabar,,
1121,2021,Selamat.  Hari. Ramadan,selamat ramadan,,
1122,2021,mending goriorio,mending goriorio,,
1123,2021,Jiwa ku meronta ronta liat harganya????????????????,jiwa ku ronta ronta lihat harga wajah menang wajah menang wajah menang wajah menang wajah menang wajah menang wajah menang wajah menang,,
1124,2021,Kak boleh minta Sumbangan uang 100 rb aja kak buat beli jaket AOT??,kak sumbang uang ribu kak beli jaket aot wajah menang keras,,
1125,2021,@firlialraen lebih enak yg di warung kek nya??,enak warung kayak nya wajah gembira urai air mata,,
1126,2021,Yg hanya mampu beli Gorio rio yg gopean minggir dahh kasian lambung kau kalau tau ??????,beli gorio rio gopean minggir deh kasihan lambung kau tau api api api,,
1127,2021,@axns.lva cuh awake Oreo kopsis  500 an????,lva cuh awake oreo kopsis an wajah menang keras tertawa terbahakbahak,,
1128,2021,Gua oreo  2000,gua oreo,,
1129,2021,@uusbuntu mau beli ini??,beli wajah menang,,
1130,2021,@octaviana1310 udah sama kayak cicilan rumahku,kayak cicil rumah,,
1131,2021,@nathaneya oreo 2 juta cek??????,oreo juta cek wajah gembira urai air mata wajah menang wajah menang,,
1132,2021,"Beli mahal mahal , rasanya sama ????",beli mahal mahal wajah menang wajah gembira urai air mata,,
1133,2021,Waaah murah banget????,waah murah banget wajah menang wajah menang,,
1134,2021,Aku yg dari kecil makan biskuit TOGO,makan biskuit togo,,
1135,2021,Kepengen ????????,ken wajah menang wajah menang wajah menang wajah menang,,
1136,2021,Halal gakk sihh? ????,halal sih wajah menang wajah menang,,
1137,2021,Kok liat di official Oreo cuma 5 dolar yak? Apa mataku Burem ????,lihat official oreo dolar ya mata buram wajah gembira urai air mata wajah gembira urai air mata,,
1138,2021,@hartati3200 apasih edan. Gua udh kerja,apasih edan gua kerja,,
1139,2021,@sridwiayu kerja sri,kerja sri,,
1140,2021,Kak please q mau minta tlg sma kk Sisca..blh gk THR online bwt belikan obat bwt bapk yg skit????????,kak please ku tolong sisca thr online belikan obat bapk sakit wajah menang tepuk tangan tepuk tangan tepuk tangan,,
1141,2021,Bagi ampao dong ka,ampao kak,,
1142,2021,Ini baru masuk akal ??,masuk akal wajah gembira urai air mata,,
1143,2021,kakk ????????,kak hati putih lebah madu wajah memelas toples madu,,
1144,2021,Ok lah ini aku masih bisa..,ok,,
1145,2021,Anjr gua gak kepikiran??,anjr gua pikir wajah gembira urai air mata,,
1146,2021,??aku suka banget ??rs bahan bahan ny mudah sekali di dapat ?? love you kak,wajah dengan mulut buka suka banget terus bahan bahan nya mudah wajah senyum lebar mata hati love you kak,,
1147,2021,Budhe bikin ini @herlina_darkin,budhe bikin,,
1148,2021,Nah kek gini batu gw bisa nyobaa,kayak batu gue coba,,
1149,2021,Nah ini bru masak yg manusiawi check ??,masak manusiawi check wajah gembira urai air mata,,
1150,2021,Mending ikut master chef,mending master chef,,
1151,2021,"Ngefans bgt sama kak @siscakohl , & sedang hamil, doaku semoga kelak putriku mirip sama kak sisca , cantik sekali kak. Semoga sehat selalu ya kak.",fan banget kak hamil doa moga kelak putri kak sisca cantik kak moga sehat ya kak,,
1152,2021,Hayang ningali tai teu? ???? @cindysorayasumangkut,hayang ningali tahi teu tertawa terbahakbahak tertawa terbahakbahak,,
1153,2021,Maaf ya ka siska adonannya ke  ee??,maaf ya kak siska adon e wajah gembira urai air mata,,
1154,2021,Udah imut anak sultan lg @nachoseann ???????????,imut anak sultan hati merah hati merah hati merah wajah senyum lebar mata hati,,
1155,2021,@duniadiana_13 iyaaa ya na. Jadi ke ingett nih??,iya ya nya nih wajah menang,,
1156,2021,@harriessw16 mirip Mega ya??,mega ya wajah menang,,
1157,2021,Klo aku inget? kak siscakhol pertama kali firal gegara bikin es krime pke tatakan AIPET IPHONE SEKARANG TAMBAH FIRAL GEGARA MASAKANNYA YG UNIK? ?????,kalo inget kak siscakhol kali firal gegara bikin es krime pakai tata aipet iphone firal gegara masakan unik angkat tangan hati merah,,
1158,2021,have a nice day!! ??,have a nice day wajah senyum lebar mata hati,,
1159,2021,@kykyrizal07 up,up,,
1160,2021,Cetakannya beli dimana?,cetak beli mana,,
1161,2021,Jago masak,jago masak,,
1162,2021,Buat nya gampang to aku gak punya cetakan nya????,nya gampang cetak nya wajah balik wajah lega,,
1163,2021,Yaya sekali efripadeh,yaya efripadeh,,
1164,2021,Hanya ini yang bisa kita coba ??,coba wajah agak senyum,,
1165,2021,Yah bolehlah bolehlah,ya,,
1166,2021,"@quotes.dhina plis deh kata"" u udh salah ya sistahh ""Kristen itu kekurangannya"" what jadi yg Kristen itu bisa menjadi kekurangan What what sejak kapan sistah. Wahh OMG aku terkejut OMG. how could you say like that You know what ""evil"" means in my sentence, right?",dhina plis deh lu salah ya sis kristen kurang what kristen kurang what what sis omg kejut omg how could you sayang like that you know what evil means my sentence right,,
1167,2021,Pungut aku mjd adek mu,pungut mjd adek mu,,
1168,2021,@nismara164 sejak kapan aq beda bedain agama sejak kapan aq hina dia jahat gw cuma ngomong agamnya kristin itu kekuranganyaa,beda beda agama hina jahat gue omong agam kristin kekuranganya,,
1169,2021,@nismara164 setuju banget,tuju banget,,
1170,2021,"@quotes.dhina nggak dong semua agama itu baik. Mau Islam,Kristen,Hindu,Budha,Konghucu terserah mereka. Kok mbak ngurusin agama orang lain. Mana ada agama yang menyedihkan, yg bukan beragama Islam bukan berarti hina dan jahat.",dhina agama islam kristen hindu budha konghucu serah mbak urus agama orang agama sedih agama islam hina jahat,,
1171,2021,@nismara164 percuma kaya cantik tapi agamnya kristen memnyedihkan,kayak cantik agam kristen memnyedihkan,,
1172,2021,@quotes.dhina kok bisa?,dhina,,
1173,2021,Gak punya oven check,oven check,,
1174,2021,@glevianita agamanya kan kristen itu kekuranganya??,agama kristen kekuranganya wajah gembira urai air mata,,
1175,2021,@nesyaa_put gelas biasa bisa wkwk,gelas wkwk,,
1176,2021,"Bahannya mah ada, ovennya yg gaada. Skip",bahan mah oven skip,,
1177,2021,sultan baru check!????,sultan check wajah menang wajah gembira urai air mata,,
1178,2021,@aw.syarifa nyetaknya pakek apa ya kak ?,syarifa nyetaknya pakai ya kak,,
1179,2021,Buat nya c gampang .alat nya gak punya !??,nya sih gampang alat nya wajah gembira urai air mata,,
1180,2021,"Salut sih, anak orang kaya malah lebih kaya bgt mgkin dri sosialita2 endonesahhh yg punya geng2 itu. Tpi dia ini jago bgt masak, salut ????",salut sih anak orang kayak kayak banget sosialita endonesah geng jago banget masak salut tepuk tangan tepuk tangan,,
1181,2021,@m.faishal.50 mangga ????,faishal mangga wajah menang keras tertawa terbahakbahak,,
1182,2021,@_rohmatussadiah_ arek di culik ah ku urang ??,arek culik ah ku urang wajah menang keras,,
1183,2021,Anjir gua kira jesika jen,anjir gua jesika jen,,
1184,2021,Yaampun orang kaya aja bisa masak. Apa kabar yang gaji UMR tapi hobinya beli warteg dan males masak,yaampun orang kayak masak kabar gaji umr hobi beli warteg malas masak,,
1185,2021,@aul_auliatita  @m.faishal.50 ????,faishal wajah menang keras tertawa terbahakbahak,,
1186,2021,Harusnya sih isinya pake ice cream,sih isi pakai ice cream,,
1187,2021,Kaya EE,kayak e,,
1188,2021,Kak mau liat mama kak sama papa kak dong,kak lihat mama kak papa kak,,
1189,2021,@fifin_kurniawati123456789 5 jutaa,juta,,
